topic,platform,postedAt
구내염_1,티스토리,2026-08-02T08:43:01.709Z
구내염_1,네이버 블로그,2026-08-02T08:43:02.292Z
구내염_1,틱톡,2026-08-02T08:49:25.681Z
구내염_1,쓰레드,2026-08-02T08:50:02.296Z
구내염_1,유튜브 쇼츠,2026-08-02T08:53:19.923Z
구내염_1,인스타그램 릴스,2026-08-02T08:53:21.323Z
구내염_1,네이버 클립,2026-08-02T08:54:28.404Z
구내염_1,인스타그램 카드뉴스,2026-08-02T08:54:32.021Z
통풍_1,네이버 블로그,2026-08-02T13:34:31.246Z
통풍_1,티스토리,2026-08-02T13:35:54.678Z
통풍_1,인스타그램 카드뉴스,2026-08-02T13:37:47.562Z
코골이_1,네이버 블로그,2026-08-02T13:40:45.545Z
코골이_1,티스토리,2026-08-02T14:05:48.134Z
코골이_1,인스타그램 카드뉴스,2026-08-02T14:07:36.625Z
이명_1,유튜브 쇼츠,2026-08-02T14:12:43.171Z
잇몸_1,페이스북,2026-08-03T08:58:27.624Z
잇몸_1,네이버 블로그,2026-08-03T09:18:36.786Z
잇몸_1,티스토리,2026-08-03T09:20:48.419Z
잇몸_1,쓰레드,2026-08-03T09:21:22.170Z
가슴쓰림_1_en,Instagram Reels,2026-08-04T00:00:00.000Z
가슴쓰림_1_ja,Instagram Reels,2026-08-04T00:00:00.000Z
허리_1_ko,페이스북,2026-08-04T02:08:52.214Z
허리_1_ko,네이버 블로그,2026-08-04T03:10:57.536Z
허리_1_ko,티스토리,2026-08-04T03:36:10.813Z
허리_1_ko,쓰레드,2026-08-04T03:37:04.879Z
허리_1_ko,인스타그램 릴스,2026-08-04T04:19:29.772Z
허리_1_ko,네이버 클립,2026-08-04T04:21:12.605Z
코골이_1,페이스북,2026-08-04T04:25:08.301Z
코골이_1,쓰레드,2026-08-04T04:26:05.635Z
장_2,페이스북,2026-08-04T04:37:07.811Z
장_2,쓰레드,2026-08-04T04:43:47.540Z
공복_1,페이스북,2026-08-04T04:49:44.806Z
골다공증_1,네이버 클립,2026-08-04T05:29:47.093Z
골다공증_1,인스타그램 릴스,2026-08-04T07:06:24.690Z
통풍_1,인스타그램 릴스,2026-08-04T10:47:45.627Z
통풍_1,네이버 클립,2026-08-04T10:50:08.228Z
관절_1_en,Instagram Reels,2026-08-04T11:07:08.446Z
관절_1_ja,Instagram Reels,2026-08-04T11:10:21.330Z
관절_1,인스타그램 릴스,2026-08-04T11:15:05.363Z
관절_1,네이버 블로그,2026-08-04T11:17:51.645Z
관절_1,티스토리,2026-08-04T11:19:47.527Z
관절_1,쓰레드,2026-08-04T11:19:52.394Z
전립선_1,네이버 블로그,2026-08-05T02:25:02.490Z
전립선_1,티스토리,2026-08-05T02:28:58.862Z
장_1,페이스북,2026-08-05T02:34:00.926Z
이명_1,네이버 블로그,2026-08-05T05:25:16.894Z
이명_1,티스토리,2026-08-05T05:27:14.442Z
이명_1,페이스북,2026-08-05T05:27:47.009Z
이명_1,인스타그램 릴스,2026-08-05T05:30:28.991Z
이명_1,네이버 클립,2026-08-05T05:33:41.305Z
손발저림_1,Instagram Reels (EN),2026-08-05T05:50:45.025Z
손발저림_1,Instagram Reels (JA),2026-08-05T05:50:45.808Z
부종_1,인스타그램 릴스,2026-08-05T07:56:57.232Z
부종_1,Instagram Reels (EN),2026-08-05T07:58:56.280Z
부종_1,Instagram Reels (JA),2026-08-05T08:04:59.166Z
부종_1,Instagram Reels (ES),2026-08-05T08:05:31.450Z
부종_1,Instagram Reels (PT),2026-08-05T08:07:07.433Z
부종_1,네이버 블로그,2026-08-05T08:07:20.516Z
부종_1,티스토리,2026-08-05T08:11:37.384Z
부종_1,페이스북,2026-08-05T08:13:43.601Z
부종_1,네이버 클립,2026-08-05T08:19:21.856Z
가슴쓰림_1_ko,페이스북,2026-08-05T11:23:19.758Z
가슴쓰림_1_ko,티스토리,2026-08-05T11:23:20.939Z
가슴쓰림_1_ko,네이버 블로그,2026-08-05T11:23:22.389Z
가슴쓰림_1_ko,네이버 클립,2026-08-05T11:23:23.322Z
가슴쓰림_1_ko,인스타그램 릴스,2026-08-05T11:23:24.288Z
갑상선_1_ko,페이스북,2026-08-05T11:23:37.272Z
갑상선_1_ko,티스토리,2026-08-05T11:23:38.722Z
갑상선_1_ko,네이버 블로그,2026-08-05T11:23:39.905Z
갑상선_1_ko,네이버 클립,2026-08-05T11:23:41.439Z
갑상선_1_ko,인스타그램 릴스,2026-08-05T11:23:43.038Z
고령_1,페이스북,2026-08-05T11:23:57.389Z
고령_1,티스토리,2026-08-05T11:23:58.389Z
고령_1,네이버 블로그,2026-08-05T11:23:59.738Z
고령_1,네이버 클립,2026-08-05T11:24:01.272Z
고령_1,인스타그램 릴스,2026-08-05T11:24:02.272Z
관절_1,페이스북,2026-08-05T11:25:09.022Z
관절_1,네이버 클립,2026-08-05T11:25:13.455Z
당뇨_1,페이스북,2026-08-05T11:25:35.072Z
당뇨_1,티스토리,2026-08-05T11:25:35.938Z
당뇨_1,네이버 블로그,2026-08-05T11:25:37.738Z
당뇨_1,네이버 클립,2026-08-05T11:25:39.372Z
당뇨_1,인스타그램 릴스,2026-08-05T11:25:40.305Z
빈혈_1,인스타그램 릴스,2026-08-05T11:25:48.655Z
빈혈_1,네이버 블로그,2026-08-05T11:25:50.471Z
빈혈_1,네이버 클립,2026-08-05T11:25:51.555Z
빈혈_1,페이스북,2026-08-05T11:25:53.238Z
빈혈_1,티스토리,2026-08-05T11:25:54.605Z
